PERMNO,date,COMNAM,RET,vwretd
76661,09/30/2016,IONIS PHARMACEUTICALS INC,0.235750,0.003017
76661,10/31/2016,IONIS PHARMACEUTICALS INC,-0.290939,-0.021594
76661,11/30/2016,IONIS PHARMACEUTICALS INC,0.684373,0.040491
76661,12/30/2016,IONIS PHARMACEUTICALS INC,0.093007,0.018792
76661,01/31/2017,IONIS PHARMACEUTICALS INC,-0.069622,0.022190
76661,02/28/2017,IONIS PHARMACEUTICALS INC,0.118427,0.032665
76661,03/31/2017,IONIS PHARMACEUTICALS INC,-0.192284,0.002092
76661,04/28/2017,IONIS PHARMACEUTICALS INC,0.198756,0.009615
76661,05/31/2017,IONIS PHARMACEUTICALS INC,-0.049803,0.009335
76661,06/30/2017,IONIS PHARMACEUTICALS INC,0.110941,0.009469
76661,07/31/2017,IONIS PHARMACEUTICALS INC,0.030077,0.020330
76661,08/31/2017,IONIS PHARMACEUTICALS INC,0.023282,0.001589
76661,09/29/2017,IONIS PHARMACEUTICALS INC,-0.054457,0.023734
76661,10/31/2017,IONIS PHARMACEUTICALS INC,0.126430,0.019281
76661,11/30/2017,IONIS PHARMACEUTICALS INC,-0.028366,0.027309
76661,12/29/2017,IONIS PHARMACEUTICALS INC,-0.093530,0.012173
76661,01/31/2018,IONIS PHARMACEUTICALS INC,0.044135,0.050656
76661,02/28/2018,IONIS PHARMACEUTICALS INC,0.005712,-0.039465
76661,03/29/2018,IONIS PHARMACEUTICALS INC,-0.165468,-0.018433
76661,04/30/2018,IONIS PHARMACEUTICALS INC,-0.023820,0.004769
76661,05/31/2018,IONIS PHARMACEUTICALS INC,0.084127,0.026170
76661,06/29/2018,IONIS PHARMACEUTICALS INC,-0.106752,0.005334
76661,07/31/2018,IONIS PHARMACEUTICALS INC,0.048236,0.031605
76661,08/31/2018,IONIS PHARMACEUTICALS INC,0.046016,0.030221
76661,09/28/2018,IONIS PHARMACEUTICALS INC,0.128912,0.000443
76661,10/31/2018,IONIS PHARMACEUTICALS INC,-0.039356,-0.074031
76661,11/30/2018,IONIS PHARMACEUTICALS INC,0.176388,0.018530
76661,12/31/2018,IONIS PHARMACEUTICALS INC,-0.072568,-0.089810
